Location_ID,สาขา,ชื่อสถานที่,lat(เติม),lon(เติม),เบอร์โทร(เติม),ลิงก์แมพ
c5cb821b-651e-4022-a540-d29aa961bba5,SKN,Better way,,,,https://www.google.com/maps/search/?api=1&query=Better%20way%2029HG%2B878
b79fd13a-d024-4457-80d8-d3141e7ede32,SKN,CP ALL คลังไดนามิค บางบัวทอง,,,,https://www.google.com/maps/search/?api=1&query=CP%20ALL%20%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B9%84%E0%B8%94%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%B4%E0%B8%84%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%97%E0%B8%AD%E0%B8%87%202995%2BVW6
8f20368d-e555-4f64-b2ed-f21792310a43,SKN,CP ALL คลังออนไลน์ บางบัวทอง,,,,https://www.google.com/maps/search/?api=1&query=CP%20ALL%20%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8C%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%97%E0%B8%AD%E0%B8%87%202995%2BVW6
314275c0-b954-443e-a7f3-872049572ae6,SKN,DC-ดูโฮม  ธัญบุรี,,,,https://www.google.com/maps/search/?api=1&query=DC-%E0%B8%94%E0%B8%B9%E0%B9%82%E0%B8%AE%E0%B8%A1%20%E0%B8%98%E0%B8%B1%E0%B8%8D%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%20XPPX%2BRHG
3db495e0-8631-476d-810a-97fd06b649b1,SKN,KSLเทพารักษ์,,,,https://www.google.com/maps/search/?api=1&query=KSL%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C%20JJFQ%2B3C4%203003
04f6f6fd-583a-4020-8ff4-50b5ca4d4171,SKN,PET HOME,,,,https://www.google.com/maps/search/?api=1&query=PET%20HOME%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8877/318%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%885
f895caae-fa20-4d3c-a438-dca1d64a4243,SKN,PET LOVE STORE,,,,https://www.google.com/maps/search/?api=1&query=PET%20LOVE%20STORE%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%885/19%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%8814
aa49b5f5-3960-4528-84d2-380789ec4c28,SKN,PORNARONG PETSHOP,,,,https://www.google.com/maps/search/?api=1&query=PORNARONG%20PETSHOP%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8850/1%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%886%E0%B8%8B.%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B9%8C76%E0%B8%96.%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B9%8C
64fcc42e-016c-4399-832c-5b58be0cbc46,SKN,TWO SIS CATSHOP,,,,https://www.google.com/maps/search/?api=1&query=TWO%20SIS%20CATSHOP%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%889%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%881
d8702547-6a04-410d-8b92-3ce4ba3691e4,SKN,We.our pet shop,,,,https://www.google.com/maps/search/?api=1&query=We.our%20pet%20shop%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88467%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%8810%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%B4%E0%B8%A8-%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%87467%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%8810
fb6df1ff-6ab1-49bb-8b35-6e3b1b342d6f,SKN,กัปตัน เพ็ทช็อป,,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%B1%E0%B8%9B%E0%B8%95%E0%B8%B1%E0%B8%99%20%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%9B%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8865/3%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%885%E0%B8%96.%E0%B8%A5%E0%B8%B3%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%81%E0%B8%B2
8a314702-2ab1-4abe-a8a9-97288dc336cd,SKN,กานดา ซุปเปอร์มาร์ท,,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B8%B2%20%E0%B8%8B%E0%B8%B8%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8873/43
a53bd73c-2083-4737-bcb8-75e76a6a109f,SKN,โกดังร้านพรวศินเพ็ทช็อป,,,,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%81%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B8%A7%E0%B8%A8%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%9B%2075%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%885
4987a8da-ecba-443d-bcd6-2aea1ff69224,SKN,โกดังใหม่ บริษัท ขายดีเฮงปัง 168 จำกัด,,,,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%81%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88%20%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97%20%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%94%E0%B8%B5%E0%B9%80%E0%B8%AE%E0%B8%87%E0%B8%9B%E0%B8%B1%E0%B8%87%20168%20%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94%2027/9%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%882
62ef73ee-e42f-4de6-a509-60e8725e966c,SKN,ข้าวหอมการเกษตร,,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%81%E0%B8%A9%E0%B8%95%E0%B8%A3%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8823/7%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%886
2948d8ad-67ce-41b1-8969-0d8f34906f5d,SKN,คิงออฟเพ็ท นครอินทร์,,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B4%E0%B8%87%E0%B8%AD%E0%B8%AD%E0%B8%9F%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%20%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2018/168
8696f81c-7265-497b-a79c-bc9d61accd3b,SKN,คุณ ทัศน์พล  บัวจันทร์,,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%20%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%8C%E0%B8%9E%E0%B8%A5%20%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2081/6%E0%B8%A1.9%E0%B8%96.%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C
7a4f6e37-069e-4e3e-b4b2-32112956df0e,SKN,คุณ สิทธิพร บัวจันทร์,,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B8%E0%B8%93%20%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%9E%E0%B8%A3%20%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%88%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%2026/64%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%887%E0%B8%96.%E0%B8%81%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7
